Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
1/19/2019,@AktionDemograph,Echter Klimaschutz kann nur von der Basis aus wach,#Merkel hofft auf #Digitalisierung zur Lösung von landwirtschaftlichen Konflikten  via @topagrar #Klimawandel #Digitalisierung #SDGs #Umwelt #Natur #Welternährungskonferenz #Hunger #ZeroHunger #Ernäherungssicherheit #GFFA #IGW2019 #Landwirtschaft #Landwirt,1086556829885304832,https://www.topagrar.com/management-und-politik/news/merkel-hofft-auf-digitalisierung-zu-loesung-von-landwirtschaftlichen-konflikten-10208242.html,,,0,0,Twitter Web Client,1513,5001,276,,12/31/2010,"Berlin, Deutschland",#RiseforClimate Echter #Klimaschutz kann nur von der Basis aus wachsen,https://de.riseforclimate.org/,,View
1/19/2019,@FAOnews,FAO Newsroom,"In Africa, investing in rural development and agriculture will offer rural youth an alternative to #migration FAO DG @grazianodasilva highlights the importance of focusing on the troubled areas of the Sahel at the #GFFA 👉  #ZeroHunger",1086553524387958784,https://bit.ly/2Dl0v2F,https://pbs.twimg.com/media/DxQ2qq4WwAE785C.jpg,,4,3,Twitter for Android,2920,1055,36,,5/10/2018,http://www.fao.org/news,"Latest news from the media relations team of @FAO, the UN agency that leads international efforts to defeat hunger. #ZeroHunger",http://www.fao.org/news,,View
1/19/2019,@ONUPortugal,ONU Portugal,Veja como pode ajudar o programa do @WFP #FeedOurFuture a alcançar um mundo sem fome  #ZeroHunger,1086552846361874432,http://wfp.org/donate-now,,,0,0,TweetDeck,1260,907,14,,1/29/2014,Bruxelas,Conta oficial da ONU para Portugal 🇺🇳 Centro Regional de Informação das Nações Unidas para a Europa Ocidental.👉Informar e envolver os Europeus. 🌍,https://www.unric.org/pt/,,View
1/19/2019,@Welthungerhilfe,Welthungerhilfe,Besuch uns auf der #GrueneWoche in Berlin. Dort stellen wir dir unser digitalen Innovationen vor. Wir freuen uns auf dich! 😀 #ZeroHunger #AgriShare @ChildGrowthMon,1086546306028449792,https://www.welthungerhilfe.de/aktuelles/veranstaltungen/2019/welthungerhilfe-auf-der-gruenen-woche-2019/,,,0,0,Falcon Social Media Management ,151619,1741,571,✅,6/24/2009,"Bonn, Germany",Aid organisation - for a world without #hunger and #poverty. From emergency relief to long-term projects with local partners. #ZeroHunger by 2030.,http://www.welthungerhilfe.de,,View
1/19/2019,@CazeauHue,Pierrette  J.Cazeau,We need to increase the availability of and access to nutritious foods. But conventional staple foods do not supply all the nutrients needed for a balanced diet. We need to explore new types of plants to ensure our #FutureofFood. #ZeroHunger RT @FAO: We need to increase the availability of and access to nutritious foods. But conventional staple foods do not supply all the nutrients needed for a balanced diet. We need to explore new types of plants to ensure our #FutureofFood. #ZeroHunger,1086542230884704256,https://twitter.com/FAO/status/1086395351555293185,https://pbs.twimg.com/media/DxOm0HpWsAAd8aX.jpg,,0,0,Twitter Web Client,1439,2081,27,,10/21/2011,"Lake Worth, FL","Abstract Reviewer APHA-SA, GHS,HIV/AIDS, Manuscript Reviewer IJCRIMPH, Proposal Reviewer AGS, Train W/CDC,CMS SMDSGlobal Delegate/Observer @UNEP #SDG",http://www.hcrff.org,,View
1/19/2019,@RotiBankIndia,Roti Bank,The weekend has come with a beautiful thankyou message from the children of MCD school in TilakNagar #Delhi. Every week #RotiBank provides fruits to these children to boost their vitality #weekend #Feed #foodfood #ZeroHunger #nutrition #health #schools #Children #fight #hunger,1086541269097156610,,pic.twitter.com/924cULapOg,,1,1,Twitter for Android,114,246,2,,7/30/2018,"New Delhi, India",ताकि कोई भूखा ना रहे ।,,,View
1/19/2019,@FAO,FAO,Family farmers 👩‍🌾👨‍🌾 produce 80% of the world's food! They are born innovators and without them we wouldn't be able to achieve #ZeroHunger! We need to invest in family farmers and innovation 👉  #AgInnovation #GFFA,1086531960179224576,"http://bit.ly/2FzVWUf
http://bit.ly/2sz8oeq",,,11,21,Buffer,272102,529,4999,✅,1/28/2009,"Rome, Italy","Working for #ZeroHunger, a sustainable 🌍 and a secure #FutureofFood for all. Our actions are our future.",http://fao.org,,View
1/19/2019,@hmrff,HMRFF,"The last ten years have witnessed two different ideological pursuits at the center, but the circumstances pertaining to feeding the underprivileged have been the same yet. #10yearChallenge #Hunger #poverty #food #Children #zerohunger #EndHunger #hungerrelief",1086526149356773376,,https://pbs.twimg.com/media/DxQdw1iU0AEx490.jpg,,1,1,Twitter for Android,28,94,0,,8/16/2018,New Delhi,Hunger and Malnutrition Relief Fund Foundation (HMRFF) is a non-profit & charitable organization. #endhunger,http://www.hmrff.org,,View
1/19/2019,@i_mnilesh,Nilesh Mishra,Digital Technolgies and #FutureofFood #Zerohunger @ihubICRISAT @iHub @ICRISAT @SNag_ @skanikasingh RT @FAO: How using digital services and technologies in agriculture is one step closer to securing our #FutureofFood 👇 #ZeroHunger #GFFA #AgInnovation,1086500877421076480,https://twitter.com/fao/status/1086227462705549312,pic.twitter.com/Py39cF778Z,,0,0,Twitter for iPhone,528,594,97,,2/11/2010,"Deoria (UP), Hyderabad, India",ICT4D practitioner @ICRISAT| Interest: #DigitalAgriculture #SciComm #SocialMedia4agri #Music. RTs≠ Endorsement. Alma Mater #NAARM @ICARINDIA,http://www.icrisat.org,,View
1/19/2019,@annamritapune,annamritapune,Annamrita:feeding india's future Link in bio Follow us on: Facebook:annamrita pune Instagram : annamritapune Website:  #annamritapune #zerohunger #children #smile #joy #joyofgiving #pune,1086490395775721478,http://www.annamritapune.org,https://pbs.twimg.com/media/DxP9P4xU0AAnTXU.jpg,,1,0,Twitter for iPad,6,10,0,,10/19/2018,"Annamrita Foundation,Opposite Vastu Udyog Colony, Masulkar Colony, Pimpri, haveli
Pune, Maharashtra","Annamrita is a not-for-profit NGO founded in 2004, our purpose is to provide mid-day meals to schools across India to underprivileged children's.🙂",http://www.annamritapune.org/,,View
